boutique,code_postal,client_anciennete,frequence_visites,captation,causes_achats,produit_prefere,produits_moins_connus,client_internet,volonte_boutique_proche,lat,lon,lat_boutique,lon_boutique
St Jean,31410,Depuis quelques annees,exceptionelle,bouche a oreille,pour me faire plaisir; pour regaler ma famille,Gateau basque,Je ne sais pas,Non,Non,43.367108090178576,1.2728958142857143,43.6650391,1.5039252
St Jean,64500,Depuis toujours,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Autres,Non,sans_avis,43.38886685,-1.6381793651234804,43.6650391,1.5039252
St Jean,62400,Depuis quelques annees,regulier,par hasard en passant devant,pour me faire plaisir,Autres,Autres,Non,sans_avis,50.52819003863636,2.6421152727272728,43.6650391,1.5039252
St Jean,33820,Depuis quelques annees,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour faire un cadeau,Autres,Autres,Non,oui,61.46656218486487,23.819322186666668,43.6650391,1.5039252
St Jean,64210,Depuis quelques annees,exceptionelle,par hasard en passant devant; bouche a oreille,pour me faire plaisir; pour faire un cadeau,Autres,Gateau basque aux agrumes,Non,sans_avis,43.43763507096019,-1.5853114421545669,43.6650391,1.5039252
St Jean,33140,Depuis quelques annees,exceptionelle,bouche a oreille,pour me faire plaisir; pour regaler ma famille; quand je reçois du monde ou quand je suis invitee,Autres,Je ne sais pas,Non,sans_avis,43.315942,-5.9256825,43.6650391,1.5039252
St Jean,32260,Depuis toujours,exceptionelle,par hasard en passant devant,pour me faire plaisir,Autres,Je ne sais pas,Non,oui,43.49712978666667,0.6132375400000001,43.6650391,1.5039252
St Jean,12161,Depuis moins d'un an,exceptionelle,par hasard en passant devant; bouche a oreille,pour faire un cadeau,Autres,Je ne sais pas,Non,oui,52.4702552033105,13.327393035388129,43.6650391,1.5039252
St Jean,87100,Depuis quelques annees,exceptionelle,par hasard en passant devant; bouche a oreille,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Je ne sais pas,oui,oui,39.30191608269231,16.253961984615387,43.6650391,1.5039252
St Jean,33500,C’est une de mes premieres visites,premiere_fois,par hasard en passant devant,pour me faire plaisir,sans_avis,Je ne sais pas,Non,sans_avis,61.503185754098354,23.78546656721312,43.6650391,1.5039252
St Jean,29910,Depuis quelques annees,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Je ne sais pas,Non,Non,47.846980782978726,-3.853653038297872,43.6650391,1.5039252
St Jean,64100,Depuis toujours,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Autres,Non,sans_avis,43.48437155,-1.4718677782037943,43.6650391,1.5039252
St Jean,64200,Depuis toujours,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour regaler ma famille,Chocolat,Je ne sais pas,oui,sans_avis,43.47642489353933,-1.5518984025280895,43.6650391,1.5039252
St Jean,64122,Depuis toujours,regulier,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Je ne sais pas,Non,sans_avis,43.36781597432432,-1.70349487027027,43.6650391,1.5039252
St Jean,64000,Depuis toujours,regulier,"bouche a oreille; avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Autres,Je ne sais pas,Non,sans_avis,43.3221107,-0.3393329323485784,43.6650391,1.5039252
St Jean,97411,Depuis quelques annees,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Gateau basque,Je ne sais pas,Non,oui,43.05915135172413,-124.41816804482758,43.6650391,1.5039252
St Jean,64500,Depuis toujours,regulier,"avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Kanougas,Gateau basque aux agrumes,Non,sans_avis,43.38886685,-1.6381793651234804,43.6650391,1.5039252
St Jean,33830,Depuis quelques annees,exceptionelle,bouche a oreille,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Mouchous,Je ne sais pas,Non,sans_avis,44.49093096428572,-0.8104871857142857,43.6650391,1.5039252
St Jean,65100,C’est une de mes premieres visites,exceptionelle,par hasard en passant devant,pour me faire plaisir,Mouchous,Je ne sais pas,Non,oui,63.09613151904762,21.61926882857143,43.6650391,1.5039252
St Jean,33320,Depuis quelques annees,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Gateau basque,Je ne sais pas,Non,sans_avis,44.89430785,-0.6485613730713807,43.6650391,1.5039252
St Jean,75007,Depuis quelques annees,regulier,par hasard en passant devant; bouche a oreille,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Gateau basque,Espelines,Non,sans_avis,48.85628814464945,2.313405078597786,43.6650391,1.5039252
St Jean,16330,Depuis quelques annees,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Mouchous,Je ne sais pas,Non,oui,40.210325,29.15326186757568,43.6650391,1.5039252
St Jean,21000,C’est une de mes premieres visites,premiere_fois,"avec vos parents, votre famille",pour regaler ma famille; pour faire un cadeau,sans_avis,Je ne sais pas,Non,oui,45.26551990381216,19.829466408802634,43.6650391,1.5039252
St Jean,40990,Depuis toujours,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Autres,Non,sans_avis,43.73913293669951,-1.0529384009852218,43.6650391,1.5039252
St Jean,64122,Depuis toujours,regulier,bouche a oreille,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Mouchous,Autres,Non,sans_avis,43.36781597432432,-1.70349487027027,43.6650391,1.5039252
St Jean,64500,Depuis quelques annees,regulier,par hasard en passant devant; bouche a oreille,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Chocolat,Autres,Non,sans_avis,43.38886685,-1.6381793651234804,43.6650391,1.5039252
St Jean,64122,Depuis quelques annees,exceptionelle,bouche a oreille,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Gateau basque,Autres,Non,sans_avis,43.36781597432432,-1.70349487027027,43.6650391,1.5039252
St Jean,64310,Depuis quelques annees,regulier,par hasard en passant devant,Noel,Mouchous,Je ne sais pas,Non,sans_avis,43.34008051328125,-1.59201581875,43.6650391,1.5039252
St Jean,40330,C’est une de mes premieres visites,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau,Autres,Je ne sais pas,Non,sans_avis,43.596876208333335,-0.73588288125,43.6650391,1.5039252
St Jean,64500,Depuis toujours,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Chocolat,Je ne sais pas,Non,sans_avis,43.38886685,-1.6381793651234804,43.6650391,1.5039252
St Jean,64150,Depuis quelques annees,exceptionelle,Cadeau,pour me faire plaisir; quand je reçois du monde ou quand je suis invitee; Fetes,Gateau basque,Autres,Non,sans_avis,43.374650446875,-0.6297226125,43.6650391,1.5039252
St Jean,33170,Depuis quelques annees,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Mouchous,Je ne sais pas,Non,oui,44.77500699834025,-0.6172303580912862,43.6650391,1.5039252
St Jean,30210,Depuis quelques annees,exceptionelle,Location de vacances,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Gateau basque,Je ne sais pas,Non,oui,37.6035209,-0.9878144,43.6650391,1.5039252
St Jean,64000,Depuis toujours,regulier,"avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Je ne sais pas,Non,sans_avis,43.3221107,-0.3393329323485784,43.6650391,1.5039252
St Jean,33560,Depuis quelques annees,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Autres,Je ne sais pas,Non,sans_avis,61.4952233,23.850676272,43.6650391,1.5039252
St Jean,65290,Depuis quelques annees,exceptionelle,par hasard en passant devant;  bouche a oreille,pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Kanougas,Espelines,Non,Non,43.20041824090909,0.02494715,43.6650391,1.5039252
St Jean,64200,Depuis toujours,regulier,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau,Gateau basque,Espelines,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.6650391,1.5039252
St Jean,95600,Depuis quelques annees,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour faire un cadeau,Gateau basque,Je ne sais pas,Non,sans_avis,48.98538983705722,2.280393166485013,43.6650391,1.5039252
St Jean,54000,C’est une de mes premieres visites,exceptionelle,par hasard en passant devant,pour me faire plaisir,Autres,Je ne sais pas,Non,Non,3.16562454,101.72296734,43.6650391,1.5039252
St Jean,64310,Depuis quelques annees,regulier,par hasard en passant devant,pour me faire plaisir,Gateau basque,Je ne sais pas,Non,sans_avis,43.34008051328125,-1.59201581875,43.6650391,1.5039252
St Jean,64500,Depuis toujours,regulier,"avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Autres,Non,sans_avis,43.38886685,-1.6381793651234804,43.6650391,1.5039252
St Jean,86700,C’est une de mes premieres visites,premiere_fois,par hasard en passant devant,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Gateau basque,Je ne sais pas,Non,Non,46.30405548,0.2041030210526315,43.6650391,1.5039252
St Jean,64500,Depuis toujours,regulier,"par hasard en passant devant; avec vos parents, votre famille",pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Gateau basque,Autres,Non,sans_avis,43.38886685,-1.6381793651234804,43.6650391,1.5039252
Biarritz,64200,Depuis quelques annees,regulier,"avec vos parents, votre famille",pour regaler ma famille;  pour faire un cadeau,Autres,Gateau basque aux agrumes,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,64000,Depuis toujours,regulier,"avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Mouchous,Je ne sais pas,Non,sans_avis,43.3221107,-0.3393329323485784,43.47114375,-1.552726590666314
Biarritz,64200,C’est une de mes premieres visites,premiere_fois,"par hasard en passant devant; avec vos parents, votre famille",pour faire un cadeau,sans_avis,Je ne sais pas,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,12200,C’est une de mes premieres visites,premiere_fois,"avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Gateau basque,Je ne sais pas,Non,oui,44.3321406,2.035285547844788,43.47114375,-1.552726590666314
